Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
WPQUEG Quantization: 888882
Epoch 1 | Loss: 2.4101 Train Acc: 0.2273 Test Acc: 0.1117 Train Time: 282.5880s Inference Time: 77.6396s
Epoch 2 | Loss: 2.3917 Train Acc: 0.2400 Test Acc: 0.1000 Train Time: 278.8238s Inference Time: 74.8244s
Epoch 3 | Loss: 2.3966 Train Acc: 0.1973 Test Acc: 0.1000 Train Time: 280.2566s Inference Time: 76.0592s
Epoch 4 | Loss: 2.3994 Train Acc: 0.2187 Test Acc: 0.1000 Train Time: 285.4385s Inference Time: 76.2717s
Epoch 5 | Loss: 2.3943 Train Acc: 0.2393 Test Acc: 0.1000 Train Time: 274.2174s Inference Time: 72.3887s
Epoch 6 | Loss: 2.3816 Train Acc: 0.2687 Test Acc: 0.1000 Train Time: 272.4390s Inference Time: 74.7736s
Epoch 7 | Loss: 2.3906 Train Acc: 0.2570 Test Acc: 0.0951 Train Time: 277.1312s Inference Time: 73.0319s
Epoch 8 | Loss: 2.3797 Train Acc: 0.3197 Test Acc: 0.1117 Train Time: 269.3929s Inference Time: 75.6074s
Epoch 9 | Loss: 2.3915 Train Acc: 0.2187 Test Acc: 0.1000 Train Time: 270.4196s Inference Time: 73.9976s
Epoch 10 | Loss: 2.3944 Train Acc: 0.2137 Test Acc: 0.1000 Train Time: 278.1943s Inference Time: 66.2655s
Epoch 11 | Loss: 2.3998 Train Acc: 0.1843 Test Acc: 0.1000 Train Time: 261.4523s Inference Time: 63.7058s
Epoch 12 | Loss: 2.3941 Train Acc: 0.1993 Test Acc: 0.0816 Train Time: 259.2263s Inference Time: 63.8139s
Epoch 13 | Loss: 2.3964 Train Acc: 0.1897 Test Acc: 0.1000 Train Time: 258.8050s Inference Time: 64.4260s
Epoch 14 | Loss: 2.3995 Train Acc: 0.2063 Test Acc: 0.1000 Train Time: 266.3141s Inference Time: 65.4189s
Epoch 15 | Loss: 2.3940 Train Acc: 0.2480 Test Acc: 0.1010 Train Time: 267.6357s Inference Time: 63.2709s
Epoch 16 | Loss: 2.3859 Train Acc: 0.2567 Test Acc: 0.1146 Train Time: 261.8643s Inference Time: 63.9814s
Epoch 17 | Loss: 2.3845 Train Acc: 0.2840 Test Acc: 0.0971 Train Time: 261.0330s Inference Time: 64.2137s
Epoch 18 | Loss: 2.4013 Train Acc: 0.1690 Test Acc: 0.0942 Train Time: 260.4308s Inference Time: 63.5728s
Epoch 19 | Loss: 2.3909 Train Acc: 0.2477 Test Acc: 0.1000 Train Time: 258.3354s Inference Time: 63.5563s
