Weight Bits,Activation Bits,Gradient Bits,Data Structure,Energy,Time,Power,Dataset
5,6,8,PB-BMP,2.25122017615552,265.229008936945,100.31382461844,cifar
5,7,8,PB-BMP,2.32676566759449,269.13503490308,106.14451233204,cifar
5,8,8,PB-BMP,2.35421278449217,274.805477064006,112.95066737844,cifar
4,12,8,PB-BMP,2.53910313055082,282.789332972481,127.69816322016,cifar
5,10,8,PB-BMP,2.4773414576651,279.779687055824,124.59522917844,cifar
5,12,8,PB-BMP,2.56199929759974,283.989856095389,134.91770874084,cifar
5,7,8,PB-CSR,1.91246536826155,174.809280059859,231.91082268084,cifar
5,6,8,PB-CSR,1.85762871045452,172.207673526255,226.08013496724,cifar
5,8,8,PB-CSR,1.94799957586405,178.535478944479,238.71697772724,cifar
5,10,8,PB-CSR,2.02309664095747,182.19325357926,250.36153952724,cifar
5,12,8,PB-CSR,2.07014399640319,185.090732023701,260.68401908964,cifar
2,8,9,PB-BMP,2.29968238044881,272.402779902434,94.36462452504,cifar
2,8,11,PB-BMP,2.37364467216928,276.051100825393,99.51745386024,cifar
2,8,10,PB-BMP,2.35085208446516,274.50164262825,97.03494995544,cifar
3,8,9,PB-BMP,2.33112201114233,274.150073725464,100.48417530264,cifar
2,8,12,PB-BMP,2.3847922893197,279.082499392189,102.43017282564,cifar
3,8,10,PB-BMP,2.3822917363311,276.25202602312,103.15450073304,cifar
3,8,11,PB-BMP,2.40508431341192,277.799939434343,105.63700463784,cifar
4,8,9,PB-BMP,2.34454759445791,276.583860552421,108.59780848536,cifar
3,8,12,PB-BMP,2.4162319307425,280.83133800114,108.54972360324,cifar
2,8,9,PB-CSR,1.83089863333516,176.915215954856,222.93784192644,cifar
2,8,10,PB-CSR,1.85736320634104,178.40250763115,225.60816735684,cifar
2,8,11,PB-CSR,1.87266536324105,179.240763617981,228.09067126164,cifar
4,8,10,PB-BMP,2.39571730902339,278.684268064157,111.26813391576,cifar
4,8,12,PB-BMP,2.42965750371988,283.263585684417,116.66335678596,cifar
2,8,12,PB-CSR,1.88291920037351,181.241841569145,231.00339022704,cifar
3,8,10,PB-CSR,1.89985353327732,179.72570539403,231.89575122504,cifar
3,8,11,PB-CSR,1.9151555951729,180.550058307581,234.37825512984,cifar
3,8,12,PB-CSR,1.92540943248551,182.551136258745,237.29097409524,cifar
5,8,9,PB-BMP,2.36744450685303,277.85805990189,115.81735400604,cifar
4,8,9,PB-CSR,1.91798564895306,179.119095551665,234.91303685316,cifar
4,8,11,PB-BMP,2.41850988628436,280.232181475381,113.75063782056,cifar
5,8,11,PB-BMP,2.44140679896457,281.506386467089,120.97018334124,cifar
3,8,9,PB-CSR,1.87338877033673,178.210607571176,229.22542579464,cifar
5,8,10,PB-BMP,2.41861422159866,279.958467413626,118.48767943644,cifar
4,8,10,PB-CSR,1.94445031688921,180.620290301239,237.58336228356,cifar
4,8,11,PB-CSR,1.95975237896493,181.44464321479,240.06586618836,cifar
4,8,12,PB-CSR,1.97000621638249,183.445726808194,242.97858515376,cifar
5,8,11,PB-CSR,1.99954863794228,182.512170837021,246.73649369004,cifar
