Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
2.0,1,1,20,FullyConnected,Crossbar,0.63,250,1.2277876074128752e-06, 3.0130951282128747e-06,0.000696356086, 0.002075633172,0.01141126823
2.0,1,1,20,FullyConnected,Crossbar,0.64,250,1.2277876074128752e-06, 3.0130951282128747e-06,0.000696356086, 0.002075633172,0.01141126823
2.0,1,1,20,FullyConnected,Crossbar,0.65,250,1.2277876074128752e-06, 3.0130951282128747e-06,0.000696356086, 0.002075633172,0.01141126823
2.0,1,1,20,FullyConnected,Crossbar,0.66,250,1.2277876074128752e-06, 3.0130951282128747e-06,0.000696356086, 0.002075633172,0.01141126823
2.0,1,1,20,FullyConnected,PB-BMP,0.63,250,6.71717887412875e-07, 2.483781808069875e-06,0.0006830481935, 0.0019491794885,0.013593499230000002
2.0,1,1,20,FullyConnected,PB-BMP,0.64,250,6.83851107412875e-07, 2.506098998345875e-06,0.0006834183434999999, 0.0019532410885,0.01365013223
2.0,1,1,20,FullyConnected,PB-BMP,0.65,250,6.986967274128751e-07, 2.535635188621875e-06,0.0006838121544999999, 0.0019573839105,0.01376340623
2.0,1,1,20,FullyConnected,PB-BMP,0.66,250,7.08216907412875e-07, 2.5460606788978748e-06,0.0006851655994999999, 0.0019648965004999998,0.013897833230000002
2.0,1,1,20,FullyConnected,PB-CSR,0.63,250,1.9313628161778753e-06, 4.060998219510475e-06,0.000931071154, 0.0028659946862,0.12602456023
2.0,1,1,20,FullyConnected,PB-CSR,0.64,250,1.9740531437698753e-06, 4.124398545972875e-06,0.0009460458060000001, 0.0028912031480000005,0.12782838023
2.0,1,1,20,FullyConnected,PB-CSR,0.65,250,2.023257471361875e-06, 4.200044818990475e-06,0.000961160496, 0.0029245951668000003,0.12985763023000005
2.0,1,1,20,FullyConnected,PB-CSR,0.66,250,2.073263098953875e-06, 4.276682511352875e-06,0.0009762940230000001, 0.00295014605321,0.13549461023
2.0,1,1,26.45751311,FullyConnected,Crossbar,0.65,400,4.63185202446976e-06, 1.1433703764441441e-05,0.0028757529856000006, 0.004093692398400001,0.03061163297
2.0,1,1,26.45751311,FullyConnected,Crossbar,0.66,400,4.63185202446976e-06, 1.1433703764441441e-05,0.0028757529856000006, 0.004093692398400001,0.03061163297
2.0,1,1,26.45751311,FullyConnected,Crossbar,0.67,400,4.63185202446976e-06, 1.1433703764441441e-05,0.0028757529856000006, 0.004093692398400001,0.03061163297
2.0,1,1,26.45751311,FullyConnected,PB-BMP,0.65,400,2.73381029130976e-06, 1.091336785244144e-05,0.0024924584044000004, 0.00402860295992,0.03552755297
2.0,1,1,26.45751311,FullyConnected,PB-BMP,0.66,400,2.79405197170176e-06, 1.1035698813401441e-05,0.0025040628228000005, 0.0040333766988640005,0.03586584297
2.0,1,1,26.45751311,FullyConnected,PB-BMP,0.67,400,2.8414285720377606e-06, 1.113521785692144e-05,0.0025139301180000006, 0.004037621048688001,0.03609127297
2.0,1,1,26.45751311,FullyConnected,PB-CSR,0.65,400,8.26439497700736e-06, 1.718090188405508e-05,0.0033470916544000003, 0.006231686556500001,0.40866036296999997
2.0,1,1,26.45751311,FullyConnected,PB-CSR,0.66,400,8.482177174656962e-06, 1.7522249570768232e-05,0.0034023349984000006, 0.006299850188860001,0.39370438297
2.0,1,1,26.45751311,FullyConnected,PB-CSR,0.67,400,8.68208612121376e-06, 1.7845307364481387e-05,0.0034500913104, 0.0063672062014800005,0.39911580297
3.0,1,1,20,FullyConnected,Crossbar,0.84,250,1.6529539428128752e-06, 3.958645852372075e-06,0.001035061755, 0.00209840401,0.01691592193
3.0,1,1,20,FullyConnected,Crossbar,0.85,250,1.6529539428128752e-06, 3.958645852372075e-06,0.001035061755, 0.00209840401,0.01691592193
3.0,1,1,20,FullyConnected,Crossbar,0.86,250,1.6529539428128752e-06, 3.958645852372075e-06,0.001035061755, 0.00209840401,0.01691592193
3.0,1,1,20,FullyConnected,PB-BMP,0.84,250,1.2949231848348752e-06, 3.800018528025075e-06,0.0009770436805, 0.0020574974625000002,0.02056939193
3.0,1,1,20,FullyConnected,PB-BMP,0.85,250,1.3199991056588753e-06, 3.845807418301075e-06,0.0009809379735, 0.0020620809485000003,0.02073844193
3.0,1,1,20,FullyConnected,PB-BMP,0.86,250,1.3417146264828752e-06, 3.883357448577076e-06,0.0009847805225, 0.0020664962465,0.02085120193
3.0,1,1,20,FullyConnected,PB-CSR,0.84,250,3.1871463978258753e-06, 5.968785604515683e-06,0.001532396, 0.00349383259801,0.17603315193
3.0,1,1,20,FullyConnected,PB-CSR,0.85,250,3.249143646241876e-06, 6.0590846475332835e-06,0.0015511328850000001, 0.0035276927223200005,0.17806300193000002
3.0,1,1,20,FullyConnected,PB-CSR,0.86,250,3.3035896946578754e-06, 6.135956593995683e-06,0.001569700367, 0.0035533208428,0.17986632193
3.0,1,1,26.45751311,FullyConnected,Crossbar,0.85,400,4.495072122143359e-06, 1.1647218627800958e-05,0.0020017843520000003, 0.0060180636848,0.0462407723
3.0,1,1,26.45751311,FullyConnected,Crossbar,0.86,400,4.495072122143359e-06, 1.1647218627800958e-05,0.0020017843520000003, 0.0060180636848,0.0462407723
3.0,1,1,26.45751311,FullyConnected,PB-BMP,0.85,400,4.023283802143361e-06, 1.3944411402840962e-05,0.0019758588712, 0.005911366457040001,0.054917542300000004
3.0,1,1,26.45751311,FullyConnected,PB-BMP,0.86,400,4.0877190821433606e-06, 1.4064733258588162e-05,0.0019785574596, 0.005926452007664,0.05536849230000001
3.0,1,1,26.45751311,FullyConnected,PB-CSR,0.85,400,1.1208492026194561e-05, 2.196561816521088e-05,0.0037084895792, 0.010156049031400001,0.5187617223000001
3.0,1,1,26.45751311,FullyConnected,PB-CSR,0.86,400,1.139973642345216e-05, 2.2249707222138433e-05,0.0037550101072000006, 0.010243236731,0.5259769223
4.0,1,1,20,FullyConnected,Crossbar,0.92,250,1.3659769343128752e-06, 3.4222294771220758e-06,0.001050383304, 0.0021443655079999998,0.0228258763
