Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
12,32,3,28,FullyConnected,Crossbar,1.0,128,1.6579799360343937e-06, 4.4591014103920255e-06,0.0011100606019840001, 0.0022797363028480002,0.06893981340000001
12,32,3,28,FullyConnected,PB-BMP,1.0,128,1.7388369408523137e-06, 5.100220747470426e-06,0.0011147329893120002, 0.002313737402368,0.0751761174
12,32,3,28,FullyConnected,PB-CSR,1.0,128,4.848815479968985e-06, 8.798999639982149e-06,0.001913194769024, 0.004098117010128,0.27178420340000004
12,32,3,28,Convolution,PB-BMP,1.0,128,2.162489798328256e-07, 5.553660715613569e-07,0.009465647784703999, 0.016677703702016003,0.00034224246000000004
12,32,3,28,Convolution,PB-CSR,1.0,128,1.8846918966179202e-07, 8.053031694629249e-07,0.0052144974492160006, 0.009380021740544002,0.0021566224899999997
12,32,3,28,Convolution,Func-RowCol,1.0,128,1.9890959968296322e-07, 4.797876767032705e-07,0.011508896517376003, 0.020902469514752,0.00029324223000000004
12,32,3,28,Convolution,Func-BMP,1.0,128,4.172856528443328e-07, 6.728848791264641e-07,0.017475530198272003, 0.023515339355648,0.00034224246000000004
12,32,3,28,Convolution,Func-Pure,1.0,128,3.0230126084976004e-07, 4.7291339180680967e-07,0.020712178437376, 0.017944594314752,0.00029324223000000004
8,32,5,28,Convolution,PB-BMP,1.0,128,7.316891537542465e-07, 1.9910132721643904e-06,0.024987045884992, 0.044315879835136,0.0005721843300000001
8,32,5,28,Convolution,PB-CSR,1.0,128,8.269724561465665e-07, 2.9556175015173508e-06,0.013228361433856, 0.024482221342208007,0.0025014085000000003
8,32,5,28,Convolution,Func-RowCol,1.0,128,6.93547885623328e-07, 1.77157236407136e-06,0.031020920407808, 0.056492320815616,0.00048318233
8,32,5,28,Convolution,Func-BMP,1.0,128,1.293557070765856e-06, 2.295312805220544e-06,0.047244758001408, 0.062666909129216,0.00053218256
8,32,5,28,Convolution,Func-Pure,1.0,128,9.8151636580688e-07, 1.755803910469312e-06,0.05685579016780801, 0.04864655057561601,0.00048318233
8,32,7,28,Convolution,PB-BMP,1.0,128,2.0567644693789372e-06, 4.831076299370841e-06,0.048147283515392006, 0.08573687526656,0.0009387822299999999
8,32,7,28,Convolution,PB-CSR,1.0,128,2.6477801884752575e-06, 8.443781666089715e-06,0.025055151214336, 0.047170134219264,0.0032927369300000003
8,32,7,28,Convolution,Func-RowCol,1.0,128,1.989846795956909e-06, 4.397948308407437e-06,0.060354302540544004, 0.10987640476108801,0.0007822140299999999
