Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Forward Energy,Backward Energy,Update Energy,Forward Time,Backward Time,Update Time,Memory Power
2,32,3,28,FullyConnected,Crossbar,1.0,0.0002045635830974224, 0.0002844557879270349,0.004333086548480001, 0.005937353263104001, 0.00042800509501555187, 0.009283781271552001,0.0456746
2,32,3,28,FullyConnected,PB-BMP,1.0,0.0005852771113127222, 0.03375837772171342,0.00498084898816, 0.25597725786240005, 0.0015032676384379912, 0.013148596674560002,0.11389673
2,32,3,28,FullyConnected,PB-CSR,1.0,0.0024430812925925064, 0.003720859977443974,0.008834865587200001, 0.013478393768480004, 0.003370076466621865, 0.012320334551040002,0.2728138
2,32,3,28,Convolution,PB-BMP,1.0,2.6089001591392014e-06, 4.596507819331033e-06,0.009518578996223999, 0.017837738220032002, 5.434100829364098e-09, 2.1585102992000003e-05,0.0002327129
2,32,3,28,Convolution,PB-CSR,1.0,1.739943554366917e-06, 2.210393707529422e-06,0.005212198507520001, 0.006838647776768001, 2.6506159405372156e-09, 7.827161552e-06,0.00029461760000000004
2,32,3,28,Convolution,Func-RowCol,1.0,7.049631220892705e-07, 1.3014960108223484e-06,0.011502491422720001, 0.022039999720447997, 1.3228860372477467e-09, 2.1274851072000004e-05,4.900023e-05
2,32,3,28,Convolution,Func-BMP,1.0,7.72282884672681e-07, 8.984796102532728e-07,0.009650700783616, 0.011960348601344001, 3.3904994849254653e-10, 4.202211072e-06,4.900023e-05
2,32,3,28,Convolution,Func-Pure,1.0,1.283553805523318e-06, 1.0253849382509053e-06,0.018899141103616002, 0.017210308840448, 3.3904994849254653e-10, 4.202211072e-06,4.900023e-05
3,32,3,28,FullyConnected,Crossbar,1.0,0.00021924479801717692, 0.0006226172104532883,0.0030697722112000008, 0.00879836286976, 0.0005600626543360099, 0.008020339834880002,0.06925253
3,32,3,28,FullyConnected,PB-BMP,1.0,0.0006811418091913525, 0.060322663978697094,0.0038835965644800005, 0.3272768431072, 0.0020448563067977095, 0.011917641543680002,0.17101380000000002
3,32,3,28,FullyConnected,PB-CSR,1.0,0.0022452941521254074, 0.004811421101506093,0.007509662924800001, 0.016185701528320003, 0.003239674212201374, 0.010971024015360003,0.2944596
3,32,3,28,Convolution,PB-BMP,1.0,2.953746251727877e-06, 5.2281359283064886e-06,0.009521351922688, 0.017840385104384, 6.20267049454897e-09, 2.1586549904000004e-05,0.0002672722
